gender,age_group,transformation,image_id_01,distortion_level_11,distortion_level_12,distortion_level_21,distortion_level_22,reaction_time_ms,answer
woman,18-30,rotation,9,10,8,1,3,4455,1
woman,18-30,rotation,10,3,1,9,6,6376,2
woman,18-30,rotation,11,7,5,3,2,4136,1
woman,18-30,rotation,13,1,3,10,4,4755,2
woman,18-30,rotation,14,3,2,4,5,8153,1
woman,18-30,rotation,15,3,1,6,9,4671,2
woman,18-30,rotation,15,6,9,4,5,5394,1
woman,18-30,rotation,15,10,9,7,6,4635,1
woman,18-30,rotation,16,1,2,9,10,5275,2
woman,18-30,rotation,16,2,3,6,10,4574,2
woman,18-30,rotation,16,8,5,4,1,3689,2
woman,18-30,rotation,16,8,9,6,7,6256,2
woman,18-30,rotation,17,4,1,8,6,4304,1
woman,18-30,rotation,17,5,4,6,9,3695,2
woman,18-30,rotation,18,3,9,2,1,3572,1
woman,18-30,rotation,18,8,9,6,4,5484,2
woman,18-30,rotation,18,10,8,4,7,6094,2
woman,18-30,rotation,19,5,1,8,6,4609,1
woman,18-30,rotation,19,6,8,3,1,4093,1
woman,18-30,rotation,19,7,8,2,3,6400,1
woman,18-30,rotation,20,2,3,10,7,4260,2
woman,18-30,rotation,20,4,1,10,7,5267,1
woman,18-30,rotation,20,8,6,1,2,4711,1
woman,18-30,rotation,20,10,6,5,4,5167,1
woman,18-30,rotation,21,7,8,4,3,24111,1
woman,18-30,rotation,22,8,4,3,2,4234,1
woman,18-30,rotation,23,6,7,4,3,6666,1
woman,18-30,rotation,23,6,9,5,4,5632,1
woman,18-30,rotation,24,3,5,6,10,3726,2
woman,18-30,rotation,24,6,5,10,8,4650,2
woman,18-30,rotation,24,6,7,3,1,4884,1
woman,18-30,rotation,24,8,9,4,3,5544,1
woman,18-30,translation,1,1,5,10,9,3939,1
woman,18-30,translation,1,6,8,2,3,6605,1
woman,18-30,translation,3,10,8,5,3,8751,2
woman,18-30,translation,4,1,2,5,7,3672,2
woman,18-30,translation,4,7,8,2,5,11504,2
woman,18-30,translation,6,4,3,10,8,8093,2
woman,18-30,translation,6,5,2,6,9,9395,1
woman,18-30,translation,6,6,7,8,10,8599,2
woman,18-30,translation,7,8,4,1,2,5457,1
woman,18-30,translation,7,9,8,5,1,4141,2
woman,18-30,translation,7,10,8,1,2,6960,1
woman,18-30,translation,7,10,8,7,5,5396,1
woman,18-30,translation,8,7,9,6,4,4512,2
woman,18-30,translation,9,4,3,10,5,4408,2
woman,18-30,translation,9,6,9,3,1,4659,1
woman,18-30,translation,10,1,4,8,9,5459,1
woman,18-30,translation,10,4,3,7,9,9981,1
woman,18-30,translation,10,7,2,9,8,4112,1
woman,18-30,translation,10,7,9,5,3,5904,2
woman,18-30,translation,10,8,10,5,2,6659,2
woman,18-30,translation,11,3,5,7,9,5620,2
woman,18-30,translation,11,3,7,9,8,4627,1
woman,18-30,translation,11,10,8,6,5,5897,1
woman,18-30,translation,12,3,4,9,8,5247,1
woman,18-30,translation,13,6,8,1,4,3856,1
woman,18-30,translation,13,9,10,8,7,7054,1
woman,18-30,translation,14,10,7,1,3,6042,1
woman,18-30,translation,15,5,2,8,6,8815,1
woman,18-30,translation,15,6,5,2,3,6788,2
woman,18-30,translation,15,10,7,2,1,5894,1
woman,18-30,translation,16,5,9,2,4,4784,1
woman,18-30,translation,17,3,1,5,9,7215,2
woman,18-30,translation,17,3,8,10,9,7793,1
woman,18-30,translation,17,8,6,5,1,4365,2
woman,18-30,translation,18,2,1,3,4,7654,1
woman,18-30,translation,19,2,3,4,6,10653,1
woman,18-30,translation,19,5,10,1,2,5111,1
woman,18-30,translation,19,8,7,2,1,3804,2
woman,18-30,translation,20,3,1,8,10,5825,2
woman,18-30,translation,21,5,3,7,6,7182,1
woman,18-30,translation,21,8,7,2,1,5691,2
woman,18-30,translation,21,9,8,4,2,8338,2
